dst,absolutetrust_score
5729,0.019154338740229586
5732,0.019154338740215156
5731,0.019154338740215156
5730,0.019154338740215156
5072,0.019154338740205307
5070,0.019154338740205307
5069,0.019154338740205307
5068,0.019154338740205307
5067,0.019154338740205307
5071,0.019154338740205307
2919,0.019154338740201025
4714,0.019154338740201025
3911,0.019154338740201025
2922,0.019154338740201025
2736,0.019154338740201025
5471,0.019154338740201025
4741,0.019154338740201025
4742,0.019154338740201025
2703,0.019154338740201025
2735,0.019154338740201025
2705,0.019154338740201025
2704,0.019154338740201025
4395,0.019154338740201025
5544,0.019154338740201025
5080,0.019154338740201025
5086,0.019154338740201025
5096,0.019154338740201025
5129,0.019154338740201025
5215,0.019154338740201025
5216,0.019154338740201025
4396,0.019154338740201025
3912,0.019154338740201025
3763,0.019154338740201025
4109,0.019154338740201025
819,0.019154338740201025
3762,0.019154338740201025
3484,0.019154338740201025
3483,0.019154338740201025
3960,0.019154338740201025
696,0.019154338740200307
5359,0.019154338740200307
5390,0.01915433874018849
883,0.01915433874018849
695,0.01915433874018849
5360,0.01915433874018849
5066,0.01436636526053853
2712,0.01249030355001343
5039,0.011658960006727068
2718,0.011224048023541133
5195,0.008968391896106782
5213,0.007418799844915212
2717,0.00701661639951833
5115,0.006534380840827111
5719,0.006470778666185524
5037,0.0051673641052924135
2700,0.004532527414962804
5269,0.003559217199505615
5278,0.0023368257218640415
5186,0.00208826116180705
2701,0.0019937000271124804
2805,0.0018883589534852408
4788,0.0015105453272775235
2702,0.001447713833970944
443,0.0014307298903631562
4204,0.0013343993275815081
2720,0.0012117394466828954
5192,0.0012000053713390928
4114,0.0011093131457457033
3046,0.0010581296889189756
2574,0.0008635091844770241
456,0.0007479632781816748
575,0.0007479632781816748
4207,0.0006855521193706725
4937,0.0005624006113453984
5087,0.0005441904726924244
2730,0.0004724844627443038
558,0.0003780507997934319
889,0.0003740112114456144
2838,0.00035671428304987683
2409,0.0003531654106018034
5635,0.0003424356573165387
3018,0.00033725374055935123
4996,0.0002710654848332996
501,0.0001898989718194383
459,0.0001877544966363006
3129,0.00018387870311029322
2782,0.00018345485427981382
4115,0.00018240330052142877
5146,0.00017351154028273202
320,0.00015885487239128459
4907,0.00014273646378595912
1334,0.0001358588917531158
2812,0.00013502285688035275
885,0.00013302953223913493
5687,0.0001252151700817881
5743,0.0001252151700817881
5744,0.0001252151700817881
3751,0.00012285113793715174
4299,0.00012285113793715174
3712,0.00012285113793715174
3286,0.00012285113793715174
4319,0.00012285113793715174
3180,0.00012285113793715174
3116,0.00012285113793715174
3115,0.00012285113793715174
3249,0.00012285113793715174
3280,0.00012285113793715174
3081,0.00012285113793715174
3468,0.00012285113793715174
3651,0.00012285113793715174
3495,0.00012285113793715174
3525,0.00012285113793715174
3218,0.00012285113793715174
3561,0.00012285113793715174
3639,0.00012285113793715174
4112,0.00012285113793715174
13,0.00010511673267922735
4840,9.935327125087857e-05
1,9.81228584291995e-05
578,9.022631656146007e-05
1471,8.39323755587807e-05
2592,8.264319411730406e-05
2631,8.107904420283101e-05
2628,8.074561989729807e-05
2905,6.413669403615594e-05
2913,6.413669403615594e-05
214,6.381813779977405e-05
3980,6.315310437802057e-05
3082,6.258846929716736e-05
4145,6.196406947207835e-05
3248,6.17108709350924e-05
2566,5.9857828266920124e-05
3968,5.755691424127024e-05
3135,5.755691424127024e-05
2790,5.739112292844841e-05
3715,5.576464059562134e-05
4694,5.5204647109822184e-05
4893,5.238182966596919e-05
4330,4.572635622565134e-05
3765,4.536626091618825e-05
4997,4.417001296655085e-05
3323,4.354278624184224e-05
3093,4.352331534274814e-05
332,4.2323017161241464e-05
4926,4.1937446915314064e-05
2852,4.1496429395107636e-05
2920,3.942698513823061e-05
4451,3.942698513823061e-05
