iteration,residual
1,1.1619946902297276
2,0.44407776530656645
3,0.1810483059840542
4,0.09013791174104696
5,0.04682414998900426
6,0.02546849524486105
7,0.014155624066147336
8,0.008326824498968904
9,0.005039253223451235
10,0.0032593326143553524
11,0.002128262641156318
12,0.0014748834886843917
13,0.0010272319695388678
14,0.0007430651318333716
15,0.0005441713207151699
16,0.0004048788438369143
17,0.0003048923305153554
18,0.00023083636939744376
19,0.00017696216344334012
20,0.00013561064632039522
21,0.00010526528179013332
22,8.14446947094567e-05
23,6.375141928017356e-05
24,4.968551885323186e-05
25,3.910025471296683e-05
26,3.0639698515067717e-05
27,2.4213680978126295e-05
28,1.9049314841539636e-05
29,1.5109432729189362e-05
30,1.1915049587107136e-05
31,9.470516384001591e-06
32,7.484049027922544e-06
33,5.95832230719466e-06
34,4.7170571496746385e-06
35,3.76080583778038e-06
36,2.9823337775927336e-06
37,2.3806320733795554e-06
38,1.8904409975666626e-06
39,1.5105070876424393e-06
40,1.2010934091108389e-06
41,9.606730960792495e-07
42,7.646525784479298e-07
43,6.120706623843659e-07
44,4.87637626073621e-07
45,3.9062170894904773e-07
46,3.1146017255665666e-07
47,2.4969703912923e-07
48,1.9922060447868556e-07
49,1.598375201906115e-07
50,1.2760437741561593e-07
51,1.0245127408389268e-07
52,8.185805030484753e-08
53,6.577088782805713e-08
54,5.2584497103621146e-08
55,4.2277849444210836e-08
56,3.3813350098370885e-08
57,2.720118146545776e-08
58,2.1762270877427712e-08
59,1.7515940613221946e-08
60,1.4018213141402402e-08
61,1.1288213948625913e-08
62,9.036589838387237e-09
63,7.280347126543398e-09
64,5.829555668380047e-09
65,4.698370404592499e-09
66,3.763366095655665e-09
67,3.0339878665749156e-09
68,2.431159081359101e-09
69,1.960688888653334e-09
70,1.5715355372484508e-09
71,1.2680660892805116e-09
72,1.0165949599605028e-09
73,8.207989505815468e-10
74,6.581672211777481e-10
75,5.316679347782987e-10
76,4.263948396857105e-10
77,3.445328100735022e-10
78,2.763373316081051e-10
79,2.233159181097906e-10
80,1.7912929480216346e-10
81,1.4477809672156167e-10
82,1.1614053940535506e-10
83,9.388011558341823e-11
84,7.531539378557433e-11
85,6.08860040998642e-11
86,4.884982283804419e-11
87,3.949392317127597e-11
88,3.168865748561139e-11
89,2.5622300575856745e-11
90,2.0559763404523144e-11
91,1.6625156722041763e-11
92,1.3341100943994455e-11
93,1.078839256735664e-11
94,8.658040148078363e-12
95,7.001789779434346e-12
96,5.619615774570549e-12
97,4.5445163632284105e-12
98,3.647666746214176e-12
99,2.950042942208696e-12
100,2.367697481442196e-12
101,1.9151874184787098e-12
102,1.5370358703798127e-12
103,1.243407489692935e-12
104,9.980124083648117e-13
105,8.07157308301228e-13
106,6.480195062636083e-13
107,5.240399950908069e-13
108,4.206975335261882e-13
109,3.4026894713782333e-13
110,2.7333611838097375e-13
111,2.2087054306534462e-13
112,1.7741456745821708e-13
113,1.4351162096554873e-13
114,1.1526320535731388e-13
115,9.310613995809965e-14
116,7.485199193185052e-14
117,6.052945770926316e-14
118,4.8422617826675804e-14
119,3.9355625455304205e-14
120,3.1571400743319964e-14
121,2.551204666125139e-14
122,2.05956156019043e-14
123,1.652318437070651e-14
124,1.3437023096403249e-14
125,1.0730244941029652e-14
126,8.525549840010447e-15
127,7.008998347558714e-15
128,5.6084187416572184e-15
129,4.554867713682642e-15
130,3.7271424721794196e-15
131,2.829857230686449e-15
132,2.5225496275463097e-15
133,1.8558064255052255e-15
134,1.524980926114791e-15
135,1.3688519354541667e-15
136,9.880524053831248e-16
137,7.908238673442846e-16
138,7.080899903956698e-16
139,5.833946571054486e-16
140,4.3043604459194816e-16
141,3.6850902906682283e-16
142,3.41007245698015e-16
143,2.5494860561274947e-16
144,1.8458674335463721e-16
145,3.1275484555415203e-16
146,3.12611233764923e-16
147,2.703529717846428e-16
148,2.0131305002450868e-16
149,2.357731031758922e-16
150,1.320162919928993e-16
151,8.710859036294643e-17
152,6.925698718775782e-17
153,6.387828826802362e-17
154,5.946778771167047e-17
155,2.025533841919748e-16
156,1.0272369568513866e-16
157,5.956624205689898e-17
158,4.693674258532095e-17
159,4.7660929285443777e-17
160,4.0230147467198215e-17
161,1.0220294247614468e-16
162,9.526240744590214e-17
163,6.287791588753668e-17
164,4.8154749493693034e-17
165,1.9263661361309706e-16
166,1.0365463783373034e-16
167,6.335439839014683e-17
168,4.9912157570788495e-17
169,4.2840478017509354e-17
170,1.0470117350984263e-16
171,9.247034862373555e-17
172,5.607362081290408e-17
173,4.709415836461224e-17
174,1.9362510106254283e-16
175,1.0158226584915429e-16
176,6.020872978228117e-17
177,5.0351900019311485e-17
178,4.388960773202261e-17
179,1.0249105279221935e-16
180,9.16021398527999e-17
181,5.690964233184408e-17
182,4.609105959682634e-17
183,1.9437620752852058e-16
184,9.603758817642764e-17
185,6.314285191157007e-17
186,5.3004807210111954e-17
187,4.237934798706819e-17
188,1.0025890921796745e-16
189,9.332669893340965e-17
190,5.957821963216875e-17
191,4.701909006966183e-17
192,1.9711053576137587e-16
193,9.952300964037087e-17
194,6.316880553046953e-17
