dst,shapleytrust_score
1,432.814
2,198.042
3,240.682
4,204.85
5,136.12
6,137.864
7,182.436
8,126.35
9,129.834
10,159.158
11,185.62
12,128.972
13,114.538
14,91.024
15,135.882
16,113.164
17,111.538
18,82.196
19,96.828
20,50.078
21,92.726
22,119.432
23,60.968
24,93.718
25,106.694
26,124.486
27,78.114
28,47.854
29,72.736
30,91.818
31,60.272
32,71.072
33,120.784
34,70.342
35,50.036
36,76.038
37,48.53
38,70.71
39,54.182
40,78.922
41,35.81
42,78.032
43,77.21
44,49.88
45,65.372
46,52.114
47,41.694
48,59.178
49,57.708
50,54.528
51,70.796
52,56.032
53,33.824
54,36.802
55,29.622
56,33.86
57,57.528
58,88.982
59,33.16
60,22.694
61,42.762
62,41.928
63,37.386
64,37.174
65,53.12
66,40.126
67,62.278
68,33.71
69,65.252
70,49.736
71,21.2
72,44.498
73,49.816
74,19.922
75,50.782
76,30.646
77,46.168
78,53.396
79,66.202
80,27.028
81,38.498
82,40.064
83,43.114
84,46.004
85,72.514
86,30.486
87,53.022
88,41.056
89,46.934
90,50.3
91,23.932
92,49.988
93,38.322
94,21.73
95,96.506
96,42.786
97,41.732
98,33.768
99,33.118
100,28.768
101,21.018
102,29.69
103,42.3
104,40.606
105,39.492
106,46.494
107,31.77
108,33.49
109,42.452
110,31.286
111,21.834
112,22.134
113,34.11
114,39.308
115,44.932
116,47.106
117,50.812
118,35.612
119,21.154
120,26.378
121,33.002
122,34.108
123,33.686
124,47.87
125,60.322
126,29.918
127,11.796
128,33.484
129,55.576
130,41.518
131,34.44
132,29.272
133,35.574
134,13.186
135,28.88
136,34.306
137,29.962
138,13.284
139,22.69
140,32.752
141,30.652
142,44.44
143,23.542
144,19.762
145,58.646
146,35.24
147,9.526
148,28.872
149,28.234
150,37.426
151,19.288
152,28.29
153,28.206
154,47.846
155,39.73
156,40.952
157,22.286
158,22.632
159,23.932
160,9.464
161,34.0
162,22.782
163,29.96
164,22.928
165,16.238
166,46.186
167,26.196
168,16.366
169,21.77
170,18.112
171,12.808
172,29.088
173,36.998
174,28.37
175,27.716
176,21.77
177,172.884
178,30.174
179,23.662
180,10.626
181,21.984
182,25.372
183,20.588
184,15.342
185,28.694
186,10.016
187,15.724
188,26.202
189,13.466
190,33.826
191,23.34
192,21.236
193,19.286
194,15.488
195,10.204
196,20.33
197,31.77
198,19.178
199,30.506
200,7.38
201,13.636
202,25.324
203,26.564
204,18.334
205,28.838
206,18.12
207,19.144
208,14.564
209,16.344
210,11.908
211,28.594
212,17.748
213,5.704
214,18.112
215,13.424
216,17.01
217,27.712
218,12.792
219,24.002
220,10.836
221,7.424
222,27.008
223,17.76
224,19.816
225,18.012
226,32.52
227,16.132
228,18.072
229,15.252
230,9.91
231,12.642
232,13.62
233,12.922
234,10.92
235,11.184
236,17.506
237,21.304
238,16.988
239,17.72
240,8.86
241,22.494
242,15.144
243,5.484
244,30.18
245,23.204
246,14.956
247,16.204
248,13.776
249,28.524
250,14.984
251,16.068
252,22.122
253,19.748
254,17.024
255,32.036
256,28.2
257,11.776
258,24.886
259,24.08
260,27.362
261,2.984
262,14.508
263,8.58
264,19.164
265,13.146
266,18.226
267,11.476
268,7.15
269,18.336
270,11.078
271,5.528
272,29.684
273,9.1
274,12.784
275,11.934
276,6.2
277,22.118
278,17.096
279,19.862
