dst,avg_rating,feedback_count,endorse_count,endorse_norm,hybrid_score,label
147,4.636363636363637,11,27.0,0.008896210870215417,2.322629923616926,high
94,4.166666666666667,18,19.0,0.0062602965382997375,2.0864634816024834,high
20,4.018867924528302,53,229.0,0.07545304775108631,2.047160486139694,high
71,4.0,22,259.0,0.08533772649577011,2.042668863247885,high
180,3.909090909090909,11,31.0,0.010214168036173256,1.9596525385635413,high
18,2.7564102564102564,78,3035.0,0.9999999996705108,1.8782051280403835,high
195,3.6363636363636362,11,268.0,0.08830313011917525,1.8623333832414057,high
74,3.5,24,512.0,0.16869851724260346,1.8343492586213017,high
2,3.5853658536585367,205,237.0,0.07808896208300199,1.8317274078707693,high
60,3.5,28,148.0,0.04876441514044006,1.77438220757022,high
28,3.2037037037037037,54,785.0,0.258649093819226,1.7311763987614648,high
129,3.411764705882353,17,52.0,0.017133443157451914,1.7144490745199024,high
55,3.235294117647059,34,265.0,0.08731466224470687,1.6613043899458828,high
112,3.1904761904761907,21,336.0,0.11070840194045851,1.6505922962083246,high
210,3.1666666666666665,12,378.0,0.12454695218301584,1.6456068094248413,high
37,3.217391304347826,46,223.0,0.07347611200214955,1.645433708174988,high
200,3.25,12,37.0,0.012191103785110015,1.631095551892555,high
56,3.212121212121212,33,3.0,0.0009884678744683797,1.6065548399978402,high
134,3.1666666666666665,18,126.0,0.041515650727671945,1.6040911586971693,high
23,3.1384615384615384,65,65.0,0.021416803946814892,1.5799391712041766,high
91,3.125,24,95.0,0.03130148269149869,1.5781507413457494,high
263,3.1,10,2.0,0.0006589785829789198,1.5503294892914896,high
220,3.0833333333333335,12,1.0,0.0003294892914894599,1.5418314113124114,high
218,3.0833333333333335,12,0.0,0.0,1.5416666666666667,high
144,3.0588235294117645,17,12.0,0.003953871497873519,1.531388700454819,high
53,2.973684210526316,38,269.0,0.0886326194106647,1.5311584149684903,high
54,2.9473684210526314,38,254.0,0.08369028003832281,1.5155293505454772,high
246,3.0,11,7.0,0.002306425040426219,1.5011532125202132,high
59,2.8285714285714287,35,517.0,0.17034596370005076,1.4994586961357397,high
4,2.925373134328358,201,125.0,0.041186161436182485,1.4832796478822703,high
6,2.79136690647482,139,232.0,0.07644151562555469,1.4339042110501874,high
76,2.8,30,199.0,0.06556836900640252,1.4327841845032012,high
187,2.7333333333333334,15,348.0,0.11466227343833205,1.4239978033858327,high
235,2.75,12,264.0,0.08698517295321741,1.4184925864766087,high
101,2.730769230769231,26,316.0,0.10411861611066932,1.41744392343995,high
267,2.8181818181818183,11,16.0,0.005271828663831358,1.4117268234228249,high
168,2.75,16,44.0,0.014497528825536236,1.3822487644127681,high
234,2.75,12,40.0,0.013179571659578395,1.3815897858297892,high
39,2.6792452830188678,53,208.0,0.06853377262980766,1.3738895278243377,high
47,2.727272727272727,44,48.0,0.015815485991494075,1.3715441066321106,high
68,2.657142857142857,35,228.0,0.07512355845959685,1.366133207801227,high
5,2.671232876712329,146,176.0,0.05799011530214494,1.3646114960072369,high
86,2.689655172413793,29,83.0,0.02734761119362517,1.3585013918037092,high
254,2.6666666666666665,12,78.0,0.02570016473617787,1.3461834157014223,high
44,2.4693877551020407,49,672.0,0.22141680388091703,1.3454022794914788,high
127,2.5652173913043477,23,337.0,0.11103789123194797,1.3381276412681478,high
14,2.6082474226804124,97,199.0,0.06556836900640252,1.3369078958434075,high
312,2.6,10,206.0,0.06787479404682874,1.3339373970234145,high
