iteration,residual
1,1.1444317460265214
2,0.4756852366746884
3,0.19447590776526993
4,0.09883557904091667
5,0.05514403142028153
6,0.03254128278423314
7,0.019481122910117686
8,0.012706306983227863
9,0.008630386302135624
10,0.006146606390070306
11,0.004428067219901562
12,0.0032418814887939166
13,0.002388120731907094
14,0.0017707347629595295
15,0.0013192385281390467
16,0.0009872906188889343
17,0.0007425349137958461
18,0.000560149108490765
19,0.00042496735968347343
20,0.00032342961299622894
21,0.0002471043906307487
22,0.0001897965791867547
23,0.00014590680533011578
24,0.00011308781215273446
25,8.741859714739818e-05
26,6.83338763134475e-05
27,5.31035078871711e-05
28,4.182843622195104e-05
29,3.266441942567527e-05
30,2.5924050829460837e-05
31,2.034260673762482e-05
32,1.6257230702781464e-05
33,1.282066155168649e-05
34,1.0312779260553162e-05
35,8.164018405069835e-06
36,6.605550485943427e-06
37,5.248667915311739e-06
38,4.269536322201004e-06
39,3.4038438003572044e-06
40,2.7797328131294785e-06
41,2.2219213763629328e-06
42,1.8201375026929746e-06
43,1.4583305245602905e-06
44,1.1976988016314446e-06
45,9.615802451304694e-07
46,7.91662016350242e-07
47,6.368833545252718e-07
48,5.254454854325533e-07
49,4.2364890187108106e-07
50,3.5010033974256425e-07
51,2.829315551884394e-07
52,2.3413177472650368e-07
53,1.8969014027605183e-07
54,1.5717550711136238e-07
55,1.2763957238514626e-07
56,1.0590140739336516e-07
57,8.619595337644335e-08
58,7.160999040287708e-08
59,5.8417329710465576e-08
60,4.858243981662762e-08
61,3.973042410248759e-08
62,3.306700420231454e-08
63,2.711279294272536e-08
64,2.2578606938743944e-08
65,1.856280966278462e-08
66,1.5466991293567626e-08
67,1.274842462983602e-08
68,1.0627283870872316e-08
69,8.782938040335567e-09
70,7.324007202695138e-09
71,6.06797450687001e-09
72,5.061871675393367e-09
73,4.2042300665556995e-09
74,3.5094991130588542e-09
75,2.9211899122955752e-09
76,2.439899270378044e-09
77,2.034959395098318e-09
78,1.7012783632298575e-09
79,1.4210451828283342e-09
80,1.1893394957556827e-09
81,9.947192949544843e-10
82,8.334336274946566e-10
83,6.978126461123774e-10
84,5.852400099380774e-10
85,4.905548655696397e-10
86,4.117804135291628e-10
87,3.4548912531300353e-10
88,2.9026894736824485e-10
89,2.437403353794523e-10
90,2.04963087972361e-10
91,1.7225247495444397e-10
92,1.4495530636015253e-10
93,1.219177430876515e-10
94,1.0266318876026765e-10
95,8.641455391416848e-11
96,7.280878329634867e-11
97,6.133025092067033e-11
98,5.170273395968088e-11
99,4.3587386554841004e-11
100,3.6758263901678104e-11
101,3.101809211823922e-11
102,2.6167134674980335e-11
103,2.2097064879228136e-11
104,1.8649634696933678e-11
105,1.5757344742485128e-11
106,1.3304109066354187e-11
107,1.1246420940264227e-11
108,9.499797880273664e-12
109,8.033096005149229e-12
110,6.788235852618264e-12
111,5.74243080079686e-12
112,4.853900245318704e-12
113,4.1080751703308615e-12
114,3.473991431118037e-12
115,2.9409406073240968e-12
116,2.4878450422580193e-12
117,2.1065310653669807e-12
118,1.7826844167943634e-12
119,1.5096244573919979e-12
120,1.278016753123955e-12
121,1.0823429342275657e-12
122,9.16546084393216e-13
123,7.764611651318502e-13
124,6.575365151109202e-13
125,5.572227996098774e-13
126,4.718218009988752e-13
127,4.0010752108073625e-13
128,3.387336443313019e-13
129,2.8701664897653697e-13
130,2.43426930239649e-13
131,2.06140889695786e-13
132,1.7483977622773693e-13
133,1.4803287751811057e-13
134,1.2569651031086425e-13
135,1.0640127228464293e-13
136,9.015688702181165e-14
137,7.662746390655257e-14
138,6.472625017563512e-14
139,5.5096428099520924e-14
140,4.6603252182247865e-14
141,3.954544582736475e-14
142,3.360232885414079e-14
