dst,absolutetrust_score
1,6.389509941412501e-06
2,0.005523806731746672
3,6.7200341233726575e-06
4,2.737868729143649e-05
5,4.0623945775605267e-05
6,8.728662664981881e-06
7,3.357452333677981e-05
8,0.0023459175596612725
9,4.233380813186111e-05
10,3.590215050760921e-05
11,3.2218480861622834e-05
12,2.5680212106066104e-05
13,6.618417358048194e-06
14,3.908649773063385e-06
15,1.3531336895924435e-05
16,6.686371195192577e-06
17,4.755442755283159e-05
18,3.50198847579722e-05
19,5.29205527023223e-05
20,8.541625025532223e-05
21,2.995339286609802e-05
22,3.750052686780511e-05
23,3.109873889317784e-05
24,2.5617892827382117e-05
25,5.077689310367455e-05
26,0.008175339959213473
27,4.631652278317e-05
28,2.1507443931828808e-06
29,1.4952829917575179e-05
30,2.7516244772413224e-05
31,3.701944196837203e-05
32,5.49474877881527e-05
33,2.9354206415608277e-05
34,4.3012737587901517e-05
35,8.602574734587598e-05
36,1.1922634928524352e-05
37,3.9535090205635726e-05
38,5.6983656233847996e-05
39,8.308407466039457e-05
40,2.4168648629568367e-05
41,0.0
42,2.7701585949424175e-05
43,3.5267082650780256e-05
44,4.027701513207969e-05
45,6.71892741710339e-05
46,2.522814682745023e-07
47,0.00010619545204177585
48,3.6613683981664764e-06
49,8.565547630120977e-06
50,1.4097755303155045e-06
51,7.229169474891492e-05
52,8.409232291979891e-05
53,4.853610364558946e-06
54,4.4314701044029796e-05
55,0.00010541423674992704
56,4.124200249909119e-06
57,9.005456384843995e-07
58,4.237140595395701e-05
59,1.665011632655123e-05
60,7.843114877118798e-05
61,9.56665204616614e-07
62,0.00011793492325170711
63,6.213077461549501e-05
64,3.459761771660756e-06
65,3.476148558646614e-05
66,0.0001228719546397787
67,7.038974089112557e-05
68,6.000580518122856e-07
69,4.05118911578171e-05
70,8.529092684110921e-05
71,5.668898495389448e-07
72,4.970142611508916e-06
73,8.179474283887938e-05
74,9.592129184041209e-05
75,9.072240732662679e-05
76,2.8454340240074235e-06
77,3.8483027244428126e-05
78,5.532469968027871e-06
79,2.5188717187326345e-05
80,3.2421103590347896e-06
81,4.056530278703286e-06
82,2.0640120452054237e-06
83,0.0001151724325894898
84,3.2764708586948917e-06
85,6.732026278339267e-05
86,1.0896675765933545e-06
87,3.408028869982146e-05
88,6.495165137475441e-05
89,3.7796942912755994e-05
90,3.586955238958125e-05
91,7.235181795261414e-05
92,3.023221177139675e-06
93,0.00011040217979445758
94,1.8525492473781215e-06
95,3.944289679417809e-05
96,3.900358141138678e-05
97,4.067214877343273e-05
98,2.8754896087228544e-06
99,5.105879963998729e-05
100,0.00011323293901539848
101,2.1697131160030975e-06
102,2.2551586684778964e-06
103,3.19863433302749e-06
104,1.1211408630187318e-06
105,7.155628336037087e-05
106,4.863892795075204e-05
107,5.767399954287568e-05
108,4.9447846636893225e-05
109,4.012377240513435e-05
110,2.048692452777745e-05
111,0.00014489969497191523
112,0.00013249634191199065
113,5.273455662533584e-05
114,3.7179937378641746e-05
115,2.2656239123872985e-06
116,5.906152548975271e-05
117,3.225369589789532e-05
118,2.314702207919914e-06
119,0.00011044530995130302
120,4.16619840765476e-06
121,4.904548474591743e-05
122,1.735376022748226e-06
123,2.020013094835502e-05
124,1.6077659806617354e-05
125,4.9258969396185776e-05
126,5.050582323826235e-05
127,0.0
128,8.225694178780519e-05
129,7.791839587622555e-06
130,4.0247000285894175e-06
131,3.0271944777885476e-06
132,0.00010051094201129801
133,0.00013510782406939956
134,2.8315421321373102e-06
135,4.727410736663258e-06
136,1.893914657455074e-05
137,5.493054924257249e-05
138,1.516331632046076e-05
139,6.726922697975662e-07
140,5.4156629159483546e-05
141,2.5212619144641317e-06
142,7.399937844196575e-05
143,2.735372183555069e-06
144,2.592486953006908e-06
145,8.541210816340797e-05
146,4.7881407493752714e-05
147,2.3435716459290124e-06
148,6.455056760422267e-05
149,3.4013287774233712e-06
150,4.5713434778529254e-05
151,4.648437574795792e-07
152,6.906934651397188e-06
153,1.7061633473053293e-06
154,1.5112390567804703e-05
155,7.219754569376379e-05
156,3.3756247933067525e-06
157,0.00015064347668468207
158,2.967565810363061e-06
159,6.253029058874423e-05
160,6.248559032157175e-07
161,4.7018332167684074e-05
162,4.632704193266648e-06
163,3.9829103243128484e-06
164,8.408107463829394e-05
165,0.0002745936719277658
166,9.640091238425642e-05
167,4.5167578372058645e-06
168,9.587235607370047e-05
169,3.938753792164045e-06
170,0.0002067305691013034
171,4.158542137347447e-06
172,8.474820299446245e-05
173,0.0001038230779090854
174,2.5543584129942193e-05
