dst,eigentrust_score
1,4.1957024660720706e-10
2,2.553169947909415e-10
3,2.9669162260916316e-10
4,2.6918502792992656e-10
5,1.7303858474031583e-10
6,1.672917435080933e-10
7,2.1257720369956652e-10
8,1.5513447034250315e-10
9,1.4525167791628882e-10
10,1.970120958610555e-10
11,2.0613694945538246e-10
12,1.5267984551141123e-10
13,1.228261734715376e-10
14,1.1608971033192385e-10
15,1.088590294975263e-10
16,1.5180926297212356e-10
17,1.255632033873051e-10
18,9.218638728361372e-11
19,1.0676008012769665e-10
20,5.990890071752495e-11
21,1.1087647169439478e-10
22,1.1465487060686077e-10
23,8.648827739560393e-11
24,9.720236300751664e-11
25,1.1692041487995726e-10
26,1.481539235117211e-10
27,9.206931329115436e-11
28,7.480031209640465e-11
29,1.0146927918907236e-10
30,1.0128568893178325e-10
31,8.116473018073678e-11
32,8.300296864374754e-11
33,1.338342830028601e-10
34,7.973475995233629e-11
35,6.570735897949062e-11
36,8.571502773286991e-11
37,5.694402337580942e-11
38,5.951409626147106e-11
39,6.951493220755584e-11
40,9.937788157273919e-11
41,7.409111242280164e-11
42,9.798392005781003e-11
43,8.807114462502817e-11
44,6.255439691183555e-11
45,8.451049369313762e-11
46,4.782677315768993e-11
47,5.040605086015332e-11
48,7.346344048000526e-11
49,6.853017774511438e-11
50,7.917455312655828e-11
51,7.583329134141962e-11
52,7.004197480912924e-11
53,3.404414647521925e-11
54,5.2327593739074596e-11
55,3.6391439939653395e-11
56,3.7159561414836276e-11
57,5.927398091194736e-11
58,7.66131338441258e-11
59,4.3473439943459686e-11
60,3.6134583900360284e-11
61,4.0093354865208217e-11
62,4.614875093775967e-11
63,5.172462669873314e-11
64,3.5385917567701895e-11
65,6.703046646320765e-11
66,4.896308211972814e-11
67,7.121222797607734e-11
68,3.6494018427590895e-11
69,8.704252459349202e-11
70,5.4471622480629934e-11
71,2.2862478452172445e-11
72,5.261267913828037e-11
73,6.028012439491737e-11
74,3.456694915940438e-11
75,6.407102012994308e-11
76,4.1932310078004204e-11
77,5.792262055633614e-11
78,6.45083949002752e-11
79,9.170355811176805e-11
80,3.659251670892645e-11
81,4.556929125516496e-11
82,4.8567965293032217e-11
83,5.361760152287401e-11
84,7.097220000382703e-11
85,7.204199978974516e-11
86,1.9680126643279885e-11
87,5.970749131397674e-11
88,3.985795430471146e-11
89,5.7760732405316806e-11
90,6.175811244217852e-11
91,3.134076636497459e-11
92,5.3431852358463074e-11
93,4.5365098510385283e-11
94,1.4843692422025577e-11
95,1.0246496540714608e-10
96,3.955868202817499e-11
97,4.848574799688267e-11
98,2.780620754943473e-11
99,4.48597801585834e-11
100,3.585966504380843e-11
101,2.8840677888797413e-11
102,3.974302923946617e-11
103,4.578663405796515e-11
104,2.2487633093730302e-11
105,4.7842417171550285e-11
106,6.02939693213848e-11
107,3.781631311011104e-11
108,4.085299004964186e-11
109,5.4424021672647654e-11
110,3.882253852995222e-11
111,2.6094426811143635e-11
112,2.2689116411948138e-11
113,3.838727743661283e-11
114,2.752734340544157e-11
115,5.3942893631008416e-11
116,5.299066775871914e-11
117,6.040385704346834e-11
118,4.054503336112827e-11
119,2.854486132872175e-11
120,3.011235504465429e-11
121,3.418609937500512e-11
122,3.8809861308117815e-11
123,3.8088886024252294e-11
124,5.052699751473095e-11
125,7.020560972089244e-11
126,2.3861881947644165e-11
127,1.9175276965804233e-11
128,3.885168333190571e-11
129,1.4574429800831623e-11
130,5.950490634038682e-11
131,4.2593224331794886e-11
132,3.565836652636416e-11
133,4.227794428516542e-11
134,2.4217865549109865e-11
135,3.1886264427040464e-11
136,4.019400864467329e-11
137,3.391068636326888e-11
138,2.4471360329560857e-11
139,3.14893900352613e-11
140,3.843286958320994e-11
141,2.960473433908859e-11
142,5.3730718711271806e-11
143,2.591983028546495e-11
144,1.75009426826397e-11
145,7.243647359023807e-11
146,4.356970092582894e-11
147,1.0598338860588805e-11
148,4.303743981616327e-11
149,3.990305505317113e-11
150,4.4055209334629604e-11
151,2.441957430731061e-11
152,4.019613310960688e-11
153,4.161734641639318e-11
154,5.326518624600409e-11
155,4.392334247272891e-11
156,4.470967009006264e-11
157,2.140261895506442e-11
158,2.722458791914504e-11
159,2.290584151692321e-11
160,9.536812233165896e-12
161,4.0466565056476995e-11
162,2.888510371653208e-11
163,3.675478673069456e-11
164,2.1228423945530537e-11
165,1.7573174325711482e-11
166,4.5506577987921504e-11
167,3.267123838699258e-11
168,1.9743016257946316e-11
169,2.8312825671741148e-11
170,1.9277555286300336e-11
171,2.4521007725962718e-11
172,3.392856733677177e-11
173,3.333703551106591e-11
174,3.334199106733151e-11
175,3.537288020427451e-11
176,2.5827216781270575e-11
177,1.7139113293940482e-10
178,3.3646786440691355e-11
179,2.1507350514217268e-11
180,4.076106807771651e-12
181,2.827077390106821e-11
182,3.413757271794417e-11
183,2.5476851832399227e-11
184,2.6187164112693642e-11
185,3.146858153121095e-11
186,4.477069442312905e-12
187,1.6763371911309178e-11
188,3.2175711688235716e-11
189,1.7066865833440362e-11
190,2.570972234446247e-11
191,2.2722450481028373e-11
192,1.5132696526874855e-11
193,2.1817624052008464e-11
194,1.730836958166408e-11
195,1.6659396985015382e-11
196,2.5715255985363386e-11
197,3.645198909206137e-11
198,2.0916276591428292e-11
199,2.8857571292128596e-11
200,2.3023714622836144e-11
201,1.731749148120794e-11
202,3.254844880497497e-11
203,3.0511526940988925e-11
204,2.200786049996052e-11
205,3.190273443352226e-11
206,2.0228197648705533e-11
207,2.2425991142071507e-11
208,1.8179224016050364e-11
209,2.3684911828622583e-11
210,1.5937097869262405e-11
211,2.8672195237748097e-11
212,2.3901555868598346e-11
213,8.687671029654709e-12
214,2.480976926129485e-11
215,1.9378856712828228e-11
216,1.9943872303827187e-11
217,3.820210599957081e-11
218,1.4049044729473444e-11
219,2.96960565186759e-11
220,1.1403400354555548e-11
221,9.73624172048222e-12
222,3.445587511310466e-11
223,2.4040407698616073e-11
224,3.4584216445694804e-11
225,2.1654042440282457e-11
226,4.2620376180597866e-11
227,1.6788746968396122e-11
228,2.2312193836337823e-11
229,1.8054369881541627e-11
230,5.598166322256207e-12
231,1.8124378464469102e-11
232,1.655561559501264e-11
233,1.2108133360702755e-11
234,1.536492876814587e-11
235,1.7097750004897747e-11
236,2.146833364724145e-11
237,2.9306908649085104e-11
238,2.248221186043643e-11
239,4.120954377312381e-11
240,1.2124574934632768e-11
241,2.889213857419155e-11
242,1.9883409464274868e-11
243,5.220306816049848e-12
244,3.64864663681585e-11
245,2.4305844580491808e-11
246,7.9061229620547e-12
247,2.0873020645030394e-11
248,1.6515978361101738e-11
249,3.1313953327245175e-11
250,1.8468574013592028e-11
251,2.2563429144544745e-11
252,2.329430549872229e-11
253,2.37801974655565e-11
254,1.3206758525589745e-11
255,3.7142154795600055e-11
256,3.340415738676866e-11
257,1.6873908226123918e-11
258,2.4299559512561652e-11
259,2.935420902715411e-11
260,3.1818935727666525e-11
261,4.819173491118451e-12
262,1.8820623247053142e-11
263,1.3585697313139114e-11
264,2.0376445641667092e-11
265,1.4363109722203721e-11
266,2.1408921008177315e-11
267,1.1978486403425984e-11
268,1.6591233806883405e-11
269,1.2254306539582737e-11
270,2.055906268411461e-11
271,6.3753061302326715e-12
272,3.064021210048161e-11
273,1.0698305737544722e-11
274,1.7449402546130657e-11
275,1.7560069150290885e-11
276,7.82222750230512e-12
277,2.4522158214782126e-11
278,1.873473140163576e-11
279,1.2577652926490977e-11
280,2.5513222984566368e-11
281,1.0775045258484265e-11
282,8.6624721839578e-12
283,1.1413825242544425e-11
284,1.844545783886958e-11
285,1.2962871514765786e-11
286,1.5096587316336626e-11
287,1.7987027420999515e-11
288,3.8642286090135806e-11
289,2.1561509428071166e-11
290,2.7216492836139103e-11
291,1.5941552108266125e-11
292,2.1394328489048595e-11
293,1.6985098870738556e-11
294,6.7611782224481965e-12
295,3.032085478031121e-11
296,2.0641176480877794e-11
297,9.459603655804638e-12
298,1.6135783511499718e-11
299,2.0968978921729817e-11
300,1.3211446224805069e-11
301,9.422290329775922e-12
302,9.23741323720279e-12
303,1.602069205993149e-11
304,1.3520422340259564e-11
305,1.825996665077911e-11
306,1.502034895289082e-11
307,5.979095994525751e-12
308,1.1933479487749449e-11
309,2.3856409264358452e-11
310,1.1709511114397036e-11
311,1.5008251236572295e-11
312,1.3788276966660609e-11
313,1.3771148433000973e-11
314,2.2633319901816712e-11
315,2.1718727937932567e-11
316,1.069810832755182e-11
317,1.1996119011286638e-11
318,1.7401640750979687e-11
319,1.8076473288328947e-11
320,1.6605714495215887e-11
321,1.5446043434999672e-11
322,8.579561643683019e-12
323,1.7804925684953274e-11
