dst,feedback_count,avg_rating,total_rating,label
147,11,4.636363636363637,51,high
94,18,4.166666666666667,75,high
20,53,4.018867924528302,213,high
71,22,4.0,88,high
180,11,3.909090909090909,43,high
195,11,3.6363636363636362,40,high
2,205,3.5853658536585367,735,high
60,28,3.5,98,high
74,24,3.5,84,high
129,17,3.411764705882353,58,high
200,12,3.25,39,high
55,34,3.235294117647059,110,high
37,46,3.217391304347826,148,high
56,33,3.212121212121212,106,high
28,54,3.2037037037037037,173,high
112,21,3.1904761904761907,67,high
134,18,3.1666666666666665,57,high
210,12,3.1666666666666665,38,high
23,65,3.1384615384615384,204,high
91,24,3.125,75,high
263,10,3.1,31,high
220,12,3.0833333333333335,37,high
218,12,3.0833333333333335,37,high
144,17,3.0588235294117645,52,high
246,11,3.0,33,high
53,38,2.973684210526316,113,high
54,38,2.9473684210526314,112,high
4,201,2.925373134328358,588,high
59,35,2.8285714285714287,99,high
267,11,2.8181818181818183,31,high
76,30,2.8,84,high
6,139,2.79136690647482,388,high
18,78,2.7564102564102564,215,high
168,16,2.75,44,high
234,12,2.75,33,high
235,12,2.75,33,high
187,15,2.7333333333333334,41,high
101,26,2.730769230769231,71,high
47,44,2.727272727272727,120,high
86,29,2.689655172413793,78,high
39,53,2.6792452830188678,142,high
5,146,2.671232876712329,390,high
254,12,2.6666666666666665,32,high
68,35,2.657142857142857,93,high
14,97,2.6082474226804124,253,high
313,10,2.6,26,high
208,15,2.6,39,high
316,10,2.6,26,high
312,10,2.6,26,high
111,26,2.576923076923077,67,high
8,134,2.574626865671642,345,high
127,23,2.5652173913043477,59,high
189,16,2.5625,41,high
151,20,2.5,50,high
270,12,2.5,30,high
165,18,2.5,45,high
230,14,2.5,35,high
38,59,2.4915254237288136,147,high
119,25,2.48,62,high
63,38,2.473684210526316,94,high
44,49,2.4693877551020407,121,high
215,15,2.466666666666667,37,high
302,11,2.4545454545454546,27,high
300,11,2.4545454545454546,27,high
310,11,2.4545454545454546,27,high
308,11,2.4545454545454546,27,high
138,22,2.4545454545454546,54,high
171,18,2.4444444444444446,44,high
201,16,2.4375,39,high
3,251,2.4302788844621515,610,high
232,14,2.4285714285714284,34,high
46,50,2.42,121,high
9,133,2.4135338345864663,321,high
80,34,2.411764705882353,82,high
100,30,2.4,72,high
227,15,2.4,36,high
265,13,2.3846153846153846,31,high
120,26,2.3846153846153846,62,high
32,71,2.3661971830985915,168,high
126,25,2.36,59,high
31,72,2.3333333333333335,168,high
61,42,2.3333333333333335,98,high
170,19,2.3157894736842106,44,high
275,13,2.3076923076923075,30,high
34,70,2.3,161,high
361,10,2.3,23,high
62,42,2.2857142857142856,96,high
257,14,2.2857142857142856,32,high
192,18,2.2777777777777777,41,high
24,87,2.2758620689655173,198,high
21,91,2.2747252747252746,207,high
231,15,2.2666666666666666,34,high
291,13,2.230769230769231,29,high
286,13,2.230769230769231,29,high
198,18,2.2222222222222223,40,high
194,18,2.2222222222222223,40,high
19,97,2.216494845360825,215,high
66,42,2.2142857142857144,93,high
139,24,2.2083333333333335,53,high
248,15,2.2,33,high
368,10,2.2,22,high
110,31,2.193548387096774,68,high
16,110,2.190909090909091,241,high
229,16,2.1875,35,high
352,11,2.1818181818181817,24,high
13,119,2.176470588235294,259,high
317,12,2.1666666666666665,26,high
206,18,2.1666666666666665,39,high
143,24,2.1666666666666665,52,high
