dst,feedback_count,avg_rating,total_rating,label
404,18,1.1111111111111112,20,low
382,19,1.105263157894737,21,low
766,10,1.1,11,low
747,10,1.1,11,low
762,10,1.1,11,low
752,10,1.1,11,low
725,10,1.1,11,low
703,11,1.0909090909090908,12,low
681,11,1.0909090909090908,12,low
707,11,1.0909090909090908,12,low
622,12,1.0833333333333333,13,low
580,13,1.0769230769230769,14,low
587,13,1.0769230769230769,14,low
124,56,1.0714285714285714,60,low
256,30,1.0666666666666667,32,low
519,15,1.0666666666666667,16,low
478,16,1.0625,17,low
188,39,1.0512820512820513,41,low
362,22,1.0454545454545454,23,low
85,75,1.04,78,low
682,12,1.0,12,low
720,11,1.0,11,low
585,14,1.0,14,low
553,15,1.0,15,low
715,11,1.0,11,low
815,10,1.0,10,low
666,12,1.0,12,low
403,20,1.0,20,low
623,13,1.0,13,low
701,12,1.0,12,low
375,22,1.0,22,low
408,21,0.9523809523809523,20,low
244,35,0.9428571428571428,33,low
255,34,0.9411764705882353,32,low
507,17,0.9411764705882353,16,low
541,16,0.9375,15,low
125,64,0.9375,60,low
166,48,0.9375,45,low
650,14,0.9285714285714286,13,low
649,14,0.9285714285714286,13,low
680,13,0.9230769230769231,12,low
813,11,0.9090909090909091,10,low
785,11,0.9090909090909091,10,low
885,10,0.9,9,low
272,34,0.8823529411764706,30,low
487,20,0.85,17,low
739,13,0.8461538461538461,11,low
824,12,0.8333333333333334,10,low
613,16,0.8125,13,low
288,36,0.8055555555555556,29,low
656,15,0.8,12,low
536,19,0.7894736842105263,15,low
754,14,0.7857142857142857,11,low
792,13,0.7692307692307693,10,low
645,17,0.7647058823529411,13,low
641,17,0.7647058823529411,13,low
95,101,0.7326732673267327,74,low
926,11,0.7272727272727273,8,low
614,18,0.7222222222222222,13,low
777,14,0.7142857142857143,10,low
994,10,0.7,7,low
716,17,0.6470588235294118,11,low
748,17,0.6470588235294118,11,low
759,18,0.6111111111111112,11,low
145,84,0.6071428571428571,51,low
863,15,0.6,9,low
941,14,0.5714285714285714,8,low
937,15,0.5333333333333333,8,low
876,17,0.5294117647058824,9,low
1249,10,0.5,5,low
946,16,0.5,8,low
491,36,0.4722222222222222,17,low
801,22,0.45454545454545453,10,low
1322,11,0.45454545454545453,5,low
1760,12,0.25,3,low
177,198,0.21717171717171718,43,low
1638,15,0.2,3,low
1691,20,0.15,3,low
798,81,0.12345679012345678,10,low
3254,10,0.1,1,low
2336,43,0.046511627906976744,2,low
5679,11,0.0,0,low
5342,39,0.0,0,low
7334,15,-0.06666666666666667,-1,low
7328,11,-0.09090909090909091,-1,low
7341,10,-0.1,-1,low
7564,92,-0.31521739130434784,-29,low
7415,15,-0.4666666666666667,-7,low
7552,49,-0.46938775510204084,-23,low
7565,46,-0.6304347826086957,-29,low
7550,30,-0.7333333333333333,-22,low
7512,18,-0.8333333333333334,-15,low
7595,47,-1.3617021276595744,-64,low
7525,13,-1.3846153846153846,-18,low
7603,93,-2.2903225806451615,-213,low
7580,15,-2.3333333333333335,-35,low
7577,13,-2.5384615384615383,-33,low
7560,10,-2.6,-26,low
7562,10,-2.8,-28,low
7588,19,-2.8421052631578947,-54,low
7579,10,-3.4,-34,low
7591,17,-3.4705882352941178,-59,low
7600,34,-3.5,-119,low
7589,15,-3.7333333333333334,-56,low
7598,19,-5.7894736842105265,-110,low
7599,19,-5.7894736842105265,-110,low
7601,16,-7.5,-120,low
7604,73,-8.602739726027398,-628,low
7602,17,-8.823529411764707,-150,low
