dst,repulink_score
1,5.234431065655148e-11
2,6.131623376278289e-11
3,4.2929742549464106e-11
4,5.734982303174696e-11
5,3.01664046338619e-11
6,3.031741967810983e-11
7,3.1812723897703646e-11
8,2.3941070567083257e-11
9,2.7038976396071685e-11
10,2.2811407269918706e-11
11,2.7737044167952295e-11
12,1.888768090771916e-11
13,1.9573419301649317e-11
14,1.9216952254541916e-11
15,1.8635145493439713e-11
16,2.301684512534907e-11
17,1.685147663287362e-11
18,1.6037699188836238e-11
19,1.7320469040844444e-11
20,1.5392823072409752e-11
21,1.68232213570988e-11
22,1.6314229630823443e-11
23,2.022234476180913e-11
24,1.5154646440109146e-11
25,1.511764378832757e-11
26,1.5328929456962435e-11
27,1.2882475017616678e-11
28,1.490693650008354e-11
29,1.3173907432595055e-11
30,1.1733461891460941e-11
31,1.4485238340416117e-11
32,1.2674310736624567e-11
33,1.1877508644264281e-11
34,1.1704701440280701e-11
35,8.942743194320625e-12
36,1.1802950399143733e-11
37,1.289862936332986e-11
38,1.1913275919640166e-11
39,1.1116676161763623e-11
40,1.2241618419499452e-11
41,1.0011700117007735e-11
42,1.0912373398149432e-11
43,1.051657189892977e-11
44,1.0741000888947981e-11
45,1.1119718365283504e-11
46,8.373194078065197e-12
47,9.336982066351268e-12
48,1.0229078082249191e-11
49,9.278326757910593e-12
50,9.24860768341829e-12
51,8.439236552617275e-12
52,9.267852780024799e-12
53,3.915009368784754e-12
54,1.1888334523996353e-11
55,7.589622773302693e-12
56,6.955350578079795e-12
57,7.620936396824421e-12
58,9.049743570916122e-12
59,6.99028834886249e-12
60,8.440975597612758e-12
61,4.772043096127327e-12
62,5.566776381524121e-12
63,9.188488375857117e-12
64,5.274972509508224e-12
65,8.283955416236205e-12
66,7.2100067956997635e-12
67,7.64602705459997e-12
68,6.590768521515304e-12
69,8.263720056711997e-12
70,6.460921486242991e-12
71,6.8870599682524e-12
72,6.803893412623509e-12
73,6.495131218177225e-12
74,8.632046966070745e-12
75,7.227821044336619e-12
76,4.4189491905836354e-12
77,7.224878152511396e-12
78,6.5221126046128965e-12
79,8.03223940596437e-12
80,6.47833514887233e-12
81,5.371326806948643e-12
82,5.294597059605699e-12
83,5.98618914674439e-12
84,9.397586709689137e-12
85,8.30497301218882e-12
86,4.212885785343671e-12
87,5.474786123254526e-12
88,6.121058721317243e-12
89,6.8317760224155735e-12
90,9.419458087996065e-12
91,7.842411186532194e-12
92,6.003175390066442e-12
93,6.655606676579535e-12
94,3.792063409732842e-12
95,1.0777199521668188e-11
96,4.181769517356609e-12
97,5.603696117301198e-12
98,4.323998970893329e-12
99,6.821432204302581e-12
100,5.8589074434669e-12
101,4.400155345012863e-12
102,5.748751338673574e-12
103,5.046424734868598e-12
104,2.9036681414835976e-12
105,5.631129760993319e-12
106,6.3865697599832725e-12
107,6.361344956350544e-12
108,7.062244646307544e-12
109,6.80125811876179e-12
110,5.470931204253461e-12
111,3.835050739883806e-12
112,4.362329276345482e-12
113,8.755675356253953e-12
114,3.985849904657242e-12
115,5.078719782016914e-12
116,4.809301294503946e-12
117,4.988117045418696e-12
118,4.718273575726081e-12
119,6.726149250447752e-12
120,4.8821066740251085e-12
121,4.7930693251956685e-12
122,4.999618313635971e-12
123,4.508620303051859e-12
124,7.1315560892672885e-12
125,6.323092298256602e-12
126,4.202506389681822e-12
127,3.5427295072084375e-12
128,4.413278983065691e-12
129,3.659597557289029e-12
130,5.833920208512794e-12
131,5.9718465708356055e-12
132,5.277967931029318e-12
133,4.766754702156974e-12
134,4.619830528571285e-12
135,3.9458671814166125e-12
136,4.6120163928314936e-12
137,3.243598970944851e-12
138,4.563470518039365e-12
139,3.1455969857601368e-12
140,4.5978221738587455e-12
141,2.6466942551593536e-12
142,6.246038798768091e-12
143,3.1161109403379596e-12
144,3.0883603576708467e-12
145,1.4029793591550495e-11
146,4.2261349564787535e-12
147,2.487882344798937e-12
148,5.421370255653599e-12
149,4.25355982340301e-12
150,6.260408439652432e-12
151,6.089171782476403e-12
152,5.7286132281864354e-12
153,4.740136239643951e-12
154,4.260847007112764e-12
155,4.138521770797174e-12
156,3.786223589930744e-12
157,2.623168519146293e-12
158,3.837353561103445e-12
159,5.365647400384023e-12
160,3.650833465904446e-12
161,3.724009880467797e-12
162,3.016179046459011e-12
163,3.699794723835791e-12
164,2.8855466458071972e-12
165,3.731875318428038e-12
166,4.946159743486425e-12
167,4.00439614092673e-12
168,4.333082412916384e-12
169,3.4308959988410614e-12
170,3.8227720973086195e-12
171,3.169512467620041e-12
172,3.4058797654069856e-12
173,3.2002791357816127e-12
174,3.5185530490278664e-12
175,3.883821065859372e-12
176,6.59686660320236e-12
177,2.2660945528277675e-11
178,3.431406756019455e-12
179,2.1428820292934925e-12
180,9.248245983754077e-13
181,3.225778826442298e-12
182,4.004599403397639e-12
183,4.110452670718475e-12
184,3.0291976502432015e-12
185,6.702292702296886e-12
186,9.315805420945715e-13
187,2.240769058971189e-12
