dst,shapleytrust_score
1,420.72
2,192.98
3,270.64
4,201.96
5,134.5
6,159.02
7,187.74
8,138.44
9,128.02
10,163.94
11,165.02
12,143.22
13,120.8
14,96.38
15,128.44
16,122.84
17,99.08
18,80.78
19,104.6
20,50.26
21,78.06
22,125.36
23,71.04
24,91.8
25,100.68
26,123.8
27,79.94
28,53.38
29,80.02
30,98.14
31,67.1
32,75.1
33,132.16
34,71.48
35,46.06
36,77.92
37,49.3
38,68.36
39,57.7
40,85.7
41,34.96
42,80.74
43,64.82
44,53.46
45,72.74
46,53.62
47,44.16
48,65.12
49,60.32
50,52.54
51,62.92
52,52.82
53,32.2
54,39.0
55,30.28
56,39.74
57,55.08
58,93.28
59,31.18
60,25.5
61,47.34
62,42.78
63,37.1
64,43.36
65,55.16
66,40.46
67,66.48
68,30.64
69,66.04
70,51.54
71,25.06
72,48.54
73,51.4
74,21.52
75,47.86
76,28.98
77,48.8
78,47.86
79,67.5
80,30.56
81,40.88
82,41.62
83,42.6
84,40.82
85,75.22
86,29.54
87,53.92
88,43.36
89,37.84
90,54.12
91,24.56
92,57.26
93,37.52
94,18.76
95,106.12
96,46.66
97,37.18
98,39.8
99,27.86
100,31.58
101,21.24
102,31.86
103,40.8
104,32.9
105,36.28
106,42.4
107,28.52
108,36.22
109,41.86
110,30.92
111,21.66
112,23.68
113,35.96
114,37.36
115,45.6
116,47.18
117,49.34
118,38.1
119,23.48
120,24.58
121,31.46
122,32.32
123,38.1
124,51.76
125,58.24
126,31.24
127,10.68
128,28.78
129,49.84
130,41.76
131,41.04
132,27.34
133,30.1
134,13.12
135,29.9
136,38.46
137,30.72
138,14.98
139,22.72
140,31.34
141,31.32
142,41.4
143,21.32
144,19.8
145,51.74
146,34.48
147,10.08
148,22.94
149,18.76
150,36.7
151,19.12
152,26.68
153,26.74
154,41.82
155,40.12
156,39.18
157,21.12
158,28.24
159,21.92
160,9.62
161,25.88
162,23.88
163,31.78
164,26.02
165,14.7
166,41.7
167,25.56
168,18.56
169,21.12
170,16.22
171,13.16
172,30.38
173,31.08
174,26.68
175,29.2
176,20.98
177,189.12
178,31.54
179,21.76
180,10.94
181,24.8
182,25.88
183,22.02
184,13.88
185,30.76
186,10.98
187,16.04
188,25.98
189,11.82
190,35.98
191,25.24
192,24.92
193,17.86
194,15.42
195,10.96
196,22.56
197,31.74
198,25.06
199,29.66
200,8.38
201,13.48
202,25.32
203,25.64
204,16.06
205,27.94
206,20.44
207,20.16
208,16.28
209,13.96
210,13.92
211,28.72
212,17.64
213,5.96
214,20.52
215,13.56
216,20.52
217,26.0
218,12.4
219,23.6
220,11.0
221,6.98
222,26.24
223,18.48
224,18.36
225,19.56
226,33.14
227,16.74
228,21.36
229,17.94
230,10.64
231,13.76
232,12.74
233,15.1
234,11.5
235,10.9
236,18.38
237,22.22
238,18.96
239,18.92
240,7.96
241,21.46
242,15.16
243,6.1
244,31.02
245,24.04
246,15.74
247,15.58
248,11.08
249,27.36
250,17.32
251,14.34
252,21.62
253,19.8
254,15.88
255,40.1
256,31.3
257,11.36
258,27.56
259,24.12
260,26.7
261,3.18
262,12.5
263,8.04
264,16.6
265,10.58
266,21.22
267,12.34
268,6.9
269,17.64
270,12.44
271,6.0
272,27.68
273,9.36
274,12.5
275,10.7
276,6.42
277,20.94
278,17.96
279,18.18
280,25.48
281,22.54
282,7.54
283,9.52
284,18.42
285,11.92
286,12.76
287,17.64
288,31.74
289,17.62
290,21.4
291,12.92
292,21.48
293,15.72
294,2.54
295,23.34
296,21.08
297,9.22
298,12.9
299,18.88
300,10.44
301,9.12
302,9.32
303,11.68
304,19.2
305,16.64
306,15.1
307,6.88
308,11.58
309,19.54
310,11.52
311,10.58
312,10.76
313,9.16
314,14.5
315,15.06
316,12.46
317,6.56
318,15.2
319,17.22
320,13.86
321,13.92
322,9.0
323,12.52
324,13.36
325,6.1
326,11.96
327,11.66
328,21.54
329,11.92
330,14.04
331,13.9
332,15.34
333,13.36
334,6.96
335,6.88
336,14.36
337,9.2
338,3.4
339,11.74
340,13.66
341,17.22
342,8.7
343,8.24
344,8.54
345,11.32
346,16.8
347,18.16
348,15.36
349,7.62
350,16.06
351,17.44
352,7.2
353,16.62
354,4.46
355,14.2
356,14.56
357,12.8
358,11.42
359,10.32
360,18.66
361,11.22
362,14.08
363,3.48
364,5.02
365,11.68
366,8.58
367,9.06
368,9.86
369,9.2
370,15.92
371,21.08
372,9.46
373,16.54
374,9.62
375,25.02
376,18.32
377,4.04
378,6.42
379,12.62
380,9.22
381,6.54
382,18.08
383,16.28
384,11.82
385,6.02
386,10.36
387,4.3
388,3.16
389,20.2
390,10.4
391,16.54
392,12.16
393,15.84
394,4.54
395,16.34
396,15.68
397,13.24
398,19.26
399,2.4
