dst,absolutetrust_score
1,0.005196283642965191
2,9.588794847921289e-05
3,0.0
4,0.0001034713042908392
5,0.000477210272100873
6,0.00012669126575451893
7,5.407972687605479e-05
8,0.0013951344526946976
9,0.0013951344526946976
10,0.000236679242752924
13,0.005480350482827079
15,5.222011312061213e-06
16,0.0
17,0.0001452882482830062
19,0.00014026461201732728
20,0.0
21,9.524569658490831e-05
23,8.562760764998752e-05
25,0.0
26,3.5163769916716454e-06
28,2.6600934914351436e-06
29,0.00011048816145095572
31,0.0007080294380642004
32,0.00026276973758509315
33,0.00011623062448997306
34,0.0009658113156228762
35,6.338192413658171e-05
36,5.878606918865352e-05
37,0.0006799868545258359
39,7.061090579386171e-05
41,0.0006768775224566899
44,5.92843699663424e-05
45,8.572878708458058e-06
46,5.147460683717167e-06
47,0.0007030240977016083
51,7.644662005233263e-05
52,1.1327777307015671e-05
53,2.605471540427777e-06
54,0.00041827378321494384
55,4.637598620460659e-06
56,0.0004260878548976149
57,0.00015226066442286876
60,5.457571152543138e-05
61,5.716417562843108e-06
62,1.2887125786572051e-05
64,8.543300074097799e-05
65,5.6553154190242895e-06
66,1.0435780176988979e-05
68,0.0003130530395433668
69,7.606517909465859e-06
70,2.4031410087848215e-05
71,0.0013951344526946976
72,1.1282364257399342e-05
74,0.0013951344526946976
75,0.00022535004934584854
76,0.00047882935697707074
77,8.758017279372478e-05
78,0.00018366213085585154
79,5.6553154190242895e-06
80,2.8621485677212304e-05
81,0.00024044926898464597
83,0.00010917862552115197
86,0.00010917862552115197
87,7.622887503909253e-06
88,0.0010681958114399778
89,5.792084693307476e-05
93,8.794725978617661e-06
94,8.213573082104216e-06
95,1.4253501329674047e-06
96,0.00013482169256514998
97,1.0587907604646356e-05
99,8.144969061936959e-07
100,0.00024467148147592403
101,0.00034877508218975463
103,0.0
104,7.936887703650385e-05
105,0.00010917862552115197
106,1.4527845439532486e-05
107,2.2383202409863236e-05
108,6.2884010603216885e-06
109,2.3144026921709912e-06
110,0.000150588018937714
111,0.0002958283518578119
112,6.47155789503839e-05
113,1.3004926831887626e-05
114,0.00027779906384988985
115,5.980458626821016e-05
116,4.637598620460659e-06
119,0.0004676436975680649
120,0.00030797389467207196
122,1.324605929626117e-05
125,0.00018391946617403264
127,3.865833816122173e-05
129,3.2770926904370735e-05
131,0.0
132,7.451287651724458e-05
133,9.30211851805568e-05
134,0.00015591805597872278
135,0.00013997986172052337
137,5.792084693307476e-05
138,0.000705092251637825
139,0.0003536209659998035
140,0.00010917862552115197
141,0.00018622091820148106
142,0.00024240140016305718
143,7.868407492222219e-05
144,4.581749338834346e-05
145,0.0013951344526946976
146,3.0520290139345125e-05
147,5.559443392581685e-05
148,2.3493592410186628e-05
149,5.1814971575362795e-05
150,5.850239889859432e-05
152,9.425792395651084e-06
153,5.301254563335727e-06
154,9.566176974020046e-07
155,7.443987108837566e-06
156,0.00022255356724575987
157,5.921505139066391e-05
158,1.217814268813302e-06
159,7.157740522249668e-05
160,0.00024256015380888147
161,9.596905784480091e-06
162,5.921505139066391e-05
163,1.5706986355746752e-05
164,2.295696679212164e-06
165,0.0013951344526946976
166,6.269796031810562e-06
167,1.5445002653264583e-05
168,0.00010917862552115197
169,6.922917743158994e-06
170,3.0246067063965873e-05
171,9.396619147559322e-05
172,4.6908254157889955e-06
173,4.262163472833845e-06
174,3.397955276663207e-05
175,4.637598620460659e-06
176,2.03499899803391e-05
177,0.00017141012497375708
178,0.00012041464874333052
179,1.6530232446973954e-05
180,0.00019758797840700046
181,7.835305536061372e-06
182,1.8976323795405397e-06
183,2.8093188722688726e-06
184,0.00017460096881792862
185,2.0271213520142776e-05
186,6.378227227764646e-06
187,1.522586573519631e-05
188,1.704865601991212e-05
189,8.977855344419034e-06
190,7.491398363919476e-06
191,3.776967583653359e-06
192,0.0003916777423297616
193,4.664221129100649e-06
194,5.8595895782910616e-06
195,4.637598620460659e-06
196,1.209531175922177e-06
197,0.0
198,0.000977885712612633
199,0.0002728064924122281
200,0.0002193270572427456
201,1.1295574156428088e-06
202,2.1407034716250972e-05
203,5.372857979132113e-06
204,1.0632032197652018e-05
205,0.0
206,2.3783108277320726e-05
207,6.278266622188474e-06
208,2.7871436267666402e-06
209,9.534652904017989e-06
210,4.637598620460659e-06
211,1.7697724326230954e-06
212,5.027666153614115e-06
213,4.6908254157889955e-06
214,0.0033134537836997974
215,8.729359643814987e-05
216,0.0002865624119406147
217,3.0291714285924765e-06
218,4.6908254157889955e-06
219,0.0005171819564500059
220,0.0
221,0.00010686932609772083
222,0.00010830118403995058
223,0.0
224,0.0002601946080839181
225,0.00024396687972113424
227,0.00023990069617321015
228,1.0583106044310211e-05
229,4.407826967900167e-06
230,4.548649025603758e-05
231,9.938636923601097e-06
232,4.637598620460659e-06
233,1.915144146918176e-06
234,0.0006999640702855283
235,2.8968155857187727e-06
236,7.955847221253734e-07
237,1.7697724326230954e-06
238,3.6872364481632005e-05
239,3.0547309296108755e-05
240,2.627848386561407e-06
241,0.00026617822075751204
242,2.1924594510888346e-05
243,4.852174319738853e-06
244,1.0796150546180807e-05
245,5.726337879878201e-06
246,0.0006079136922761128
247,0.0013951344526946976
248,1.911229203329111e-06
249,1.3175685929897668e-05
250,2.534589019027876e-06
251,0.0001856561952230555
252,4.6908254157889955e-06
253,2.3197506955884007e-07
254,5.250023337257446e-06
255,8.579670319945354e-06
256,9.286130499299198e-06
257,5.541382072349126e-05
258,7.82362720006832e-06
259,2.629348888954236e-05
260,0.0
261,0.00020599785247709843
262,2.9876628202264354e-05
263,4.222316959576328e-06
264,0.0
265,3.933302829017632e-05
266,9.476272187579503e-05
267,5.6553154190242895e-06
268,8.37699185232009e-06
269,4.0281233544144e-06
270,0.00011659824324613195
271,0.0006997244036802746
272,1.8782177074902234e-05
273,9.499679775032664e-06
274,0.00020314359848421006
275,2.1753825479235114e-05
276,7.89100835935628e-06
277,1.2116161480927638e-05
278,2.0834106365243323e-06
279,4.6908254157889955e-06
280,0.0007429489920297145
281,0.0
282,3.257349565013884e-06
283,2.009384099027327e-05
284,6.563280459624557e-06
285,3.581519358073829e-05
286,1.7781537772284519e-06
287,9.459673212001429e-07
288,3.0011144063996756e-05
289,1.7697724326230954e-06
