dst,eigentrust_score
1,2.7494253574072193e-13
2,5.309997293511783e-14
3,1.2199287052975935e-14
4,6.442839462669909e-14
5,3.6870458743251096e-15
6,3.833486111963272e-14
7,2.795459065828051e-13
8,3.4318988078154933e-15
9,1.372314849348579e-15
10,6.021122592773464e-15
13,2.182801860244294e-13
15,1.5241684849955096e-14
16,1.1628830898294042e-15
17,2.364373596505064e-14
19,1.3464210438673033e-14
20,1.0754311572719328e-14
21,2.7509891813228337e-14
23,3.417833079950466e-14
25,8.795447405054057e-14
26,1.1644692843716458e-14
28,1.6213050727653435e-14
29,4.367150168262676e-14
31,2.476406463997984e-15
32,8.171393441760034e-15
33,3.6947032771298003e-14
34,3.81266488220335e-15
35,5.04895443600232e-13
36,3.450330853885737e-14
37,1.4184699046299143e-14
39,3.179628075043444e-14
41,1.13104463861375e-13
44,2.4841145470113847e-15
45,1.2531522229806999e-14
46,1.013612006625882e-15
47,2.649781792373945e-15
51,3.370603750237884e-14
52,1.3607026608327613e-15
53,2.448826400743765e-15
54,1.2988480993843878e-14
55,1.2774669430253662e-15
56,7.185475169947829e-15
57,8.780298484506228e-14
60,8.518965550447553e-14
61,6.784518387795416e-15
62,4.3145157594012374e-14
64,8.421776579066328e-14
65,6.894226118479684e-16
66,1.104091614649405e-15
68,6.394012815976155e-15
69,1.638050964459822e-14
70,5.640552037502817e-15
71,1.372314849348579e-15
72,1.4636622522736638e-14
74,1.372314849348579e-15
75,1.5871903820525552e-14
76,4.232261844714731e-15
77,1.6275411003096548e-14
78,1.2128239772140272e-14
79,6.894226118479684e-16
80,2.0689371019815357e-14
81,1.156624818222266e-14
83,1.1629439807084052e-15
86,1.1629439807084052e-15
87,2.494445523275679e-15
88,6.937578364991802e-15
89,2.4404109237337713e-15
93,1.5749320406672004e-14
94,1.2370428023718684e-15
95,4.8733748802515185e-15
96,3.995623695364117e-14
97,5.229487431984813e-15
99,2.406070892477257e-15
100,1.0877889919840473e-14
101,1.6257449655502313e-14
103,4.178991395252575e-15
104,6.749872891540075e-14
105,1.3237044987442435e-15
106,1.1738039977218292e-15
107,3.1558800114049363e-15
108,8.612315547716469e-15
109,8.052818641269651e-15
110,1.8468874823839922e-14
111,6.160141992333661e-15
112,1.278977829211045e-14
113,5.0414465712695136e-14
114,1.213793393096067e-14
115,2.742304176341084e-14
116,1.2774669430253662e-15
119,4.820616385727915e-15
120,8.195060846533065e-15
122,1.2774669430253662e-15
125,9.07180848655259e-15
127,4.560122899291932e-15
129,6.936431653377481e-15
131,7.968777811509975e-16
132,4.868864094357889e-14
133,2.545746686946609e-15
134,1.9409897663097584e-14
135,7.445882817295153e-14
137,2.4404109237337713e-15
138,2.9872125458712087e-15
