dst,feedback_count,avg_rating,total_rating,label
4379,11,0.8181818181818182,9,low
705,16,0.8125,13,low
242,16,0.8125,13,low
405,19,0.7894736842105263,15,low
2173,54,0.7777777777777778,42,low
1377,13,0.7692307692307693,10,low
4385,17,0.7647058823529411,13,low
4179,12,0.75,9,low
1810,311,0.7395498392282959,230,low
2388,136,0.7279411764705882,99,low
781,11,0.7272727272727273,8,low
2028,279,0.7240143369175627,202,low
4559,82,0.7195121951219512,59,low
2333,13,0.6923076923076923,9,low
2158,15,0.6666666666666666,10,low
2322,31,0.6451612903225806,20,low
2044,11,0.6363636363636364,7,low
3738,19,0.631578947368421,12,low
2187,26,0.6153846153846154,16,low
905,264,0.6098484848484849,161,low
579,15,0.6,9,low
1043,15,0.6,9,low
4026,15,0.6,9,low
4570,15,0.6,9,low
396,12,0.5833333333333334,7,low
2399,19,0.5789473684210527,11,low
2194,38,0.5526315789473685,21,low
374,11,0.5454545454545454,6,low
4694,80,0.5125,41,low
1026,10,0.5,5,low
1754,16,0.5,8,low
2266,53,0.49056603773584906,26,low
5525,19,0.47368421052631576,9,low
4382,13,0.46153846153846156,6,low
3719,61,0.45901639344262296,28,low
2229,16,0.4375,7,low
1272,14,0.42857142857142855,6,low
5472,35,0.42857142857142855,15,low
5228,14,0.42857142857142855,6,low
2524,12,0.4166666666666667,5,low
561,10,0.4,4,low
4244,10,0.4,4,low
4235,10,0.4,4,low
2688,20,0.4,8,low
4490,10,0.4,4,low
1363,44,0.36363636363636365,16,low
5596,12,0.3333333333333333,4,low
4840,16,0.3125,5,low
135,93,0.3010752688172043,28,low
4136,14,0.2857142857142857,4,low
1318,23,0.2608695652173913,6,low
1964,12,0.25,3,low
1771,82,0.24390243902439024,20,low
3767,13,0.23076923076923078,3,low
4163,14,0.21428571428571427,3,low
628,16,0.125,2,low
3345,48,0.125,6,low
152,10,0.1,1,low
1277,11,0.09090909090909091,1,low
3646,11,0.09090909090909091,1,low
2590,11,0.09090909090909091,1,low
2987,12,0.08333333333333333,1,low
2045,128,0.0703125,9,low
383,18,0.05555555555555555,1,low
2962,15,-0.06666666666666667,-1,low
1154,17,-0.11764705882352941,-2,low
3233,15,-0.2,-3,low
2661,18,-0.2222222222222222,-4,low
3,21,-0.2857142857142857,-6,low
832,92,-0.31521739130434784,-29,low
4038,31,-0.3548387096774194,-11,low
3897,128,-0.359375,-46,low
2897,71,-0.4084507042253521,-29,low
1543,51,-0.5294117647058824,-27,low
4434,13,-0.5384615384615384,-7,low
1991,20,-0.55,-11,low
3722,46,-0.5652173913043478,-26,low
75,10,-0.6,-6,low
62,52,-0.7307692307692307,-38,low
204,31,-0.7741935483870968,-24,low
3797,11,-0.8181818181818182,-9,low
3531,16,-0.875,-14,low
1198,10,-0.9,-9,low
4732,10,-0.9,-9,low
4890,21,-1.0476190476190477,-22,low
1815,24,-1.25,-30,low
4899,13,-1.3076923076923077,-17,low
4635,83,-1.3734939759036144,-114,low
2566,12,-1.5,-18,low
5363,15,-1.5333333333333334,-23,low
3776,10,-1.6,-16,low
2574,12,-1.6666666666666667,-20,low
3197,10,-1.7,-17,low
4592,18,-1.8333333333333333,-33,low
4251,12,-1.8333333333333333,-22,low
4084,18,-1.8888888888888888,-34,low
4898,10,-2.0,-20,low
1331,16,-2.25,-36,low
1383,96,-2.4166666666666665,-232,low
1753,13,-2.5384615384615383,-33,low
2540,12,-2.5833333333333335,-31,low
2090,20,-2.65,-53,low
5635,21,-2.6666666666666665,-56,low
1719,10,-2.8,-28,low
4075,12,-2.8333333333333335,-34,low
2293,11,-2.909090909090909,-32,low
4733,29,-3.0689655172413794,-89,low
1792,11,-3.1818181818181817,-35,low
4279,11,-3.4545454545454546,-38,low
4707,33,-3.515151515151515,-116,low
4746,11,-3.727272727272727,-41,low
472,15,-3.7333333333333334,-56,low
3273,15,-3.8,-57,low
4698,10,-4.2,-42,low
4683,33,-4.636363636363637,-153,low
2017,45,-5.088888888888889,-229,low
4667,18,-5.5,-99,low
2498,45,-5.688888888888889,-256,low
2657,10,-5.8,-58,low
3757,21,-6.190476190476191,-130,low
3756,21,-6.190476190476191,-130,low
4688,23,-6.6521739130434785,-153,low
4686,25,-6.68,-167,low
4684,20,-6.7,-134,low
4673,24,-6.708333333333333,-161,low
4350,14,-6.928571428571429,-97,low
4675,22,-7.0,-154,low
4654,25,-7.44,-186,low
4645,13,-7.461538461538462,-97,low
3759,16,-7.5,-120,low
4661,21,-7.571428571428571,-159,low
4666,21,-7.714285714285714,-162,low
4682,20,-7.8,-156,low
4678,20,-7.8,-156,low
4680,21,-7.904761904761905,-166,low
4679,21,-7.904761904761905,-166,low
4681,22,-8.0,-176,low
4676,19,-8.263157894736842,-157,low
3744,81,-8.333333333333334,-675,low
4743,16,-8.625,-138,low
4677,17,-8.705882352941176,-148,low
4701,17,-8.705882352941176,-148,low
4668,16,-8.75,-140,low
4669,16,-8.75,-140,low
3760,17,-8.823529411764707,-150,low
4531,25,-9.2,-230,low
4672,18,-9.38888888888889,-169,low
4744,19,-9.421052631578947,-179,low
4747,14,-10.0,-140,low
