dst,repulink_score
1,4.075621820031402e-15
2,7.70870282261837e-16
3,2.8917344244433733e-16
4,8.971485227835192e-16
5,5.014910701295513e-17
6,5.458651205726924e-16
7,3.778497573488264e-15
8,1.034404011813074e-16
9,1.657823633060798e-17
10,1.691257573971622e-16
13,1.622342116846826e-15
15,1.3201365939131912e-16
16,3.643869668652293e-17
17,2.925963999348367e-16
19,1.6348796495968728e-16
20,1.488544263874524e-16
21,4.093771749274096e-16
23,5.321008860251149e-16
25,1.6364235973319139e-15
26,7.221350320784939e-17
28,1.869086778926583e-16
29,4.1434090220039145e-16
31,2.114434681902955e-17
32,4.0961819624758586e-17
33,3.500176455615765e-16
34,2.019590911363492e-17
35,3.8841491868331825e-15
36,3.036014708100896e-16
37,9.346346239405401e-17
39,4.953579086594415e-16
41,8.423596092426398e-16
44,1.1773114263737081e-17
45,1.2410626714558155e-16
46,4.9011964519613506e-18
47,3.221930835842753e-17
51,3.3391875930038085e-16
52,9.729339965992263e-18
53,3.96657960731651e-17
54,1.680908999297121e-16
55,7.35195386251556e-18
56,7.355930037111266e-17
57,9.658111112683953e-16
60,1.2392213685984024e-15
61,9.956707460103575e-17
62,5.166960597701579e-16
64,7.068112520520647e-16
65,4.329068249041817e-18
66,9.132220976843135e-18
68,5.838294866494228e-17
69,2.255642737396284e-16
70,6.090427768943279e-17
71,8.28911816530399e-18
72,1.3612122873456607e-16
74,8.28911816530399e-18
75,1.3761426462767994e-16
76,4.529576863225343e-17
77,1.5154234016066229e-16
78,9.916490045270403e-17
79,4.329068249041817e-18
80,1.6611923622921656e-16
81,1.2742179203258658e-16
83,5.651386932065539e-18
86,5.651386932065539e-18
87,1.2568269039434085e-17
88,9.816707788735982e-17
89,2.035529465709666e-17
93,1.9795249317844393e-16
94,6.405850530750456e-18
95,5.831264031575923e-17
96,2.5840337608209875e-16
97,5.211194826661812e-17
99,6.214659143127566e-17
100,6.868687583274575e-17
101,1.4825815061442266e-16
103,3.829453854715614e-17
104,7.061766530654173e-16
105,9.006739438743562e-18
106,4.767474999164532e-18
107,3.586501612120441e-17
108,4.1811266277455406e-17
109,7.292934505406149e-17
110,1.3441563761998244e-16
111,1.1157013430920718e-16
112,9.916908228321217e-17
113,4.2348553913553e-16
114,1.0122141726812809e-16
115,2.4719661427618494e-16
116,1.470390772503112e-17
119,5.81327706740622e-17
120,1.152423048868607e-16
122,7.35195386251556e-18
125,7.76835559267703e-17
127,4.4420396688040667e-17
129,7.188807575834848e-17
131,3.727888652326494e-18
132,3.572177743206382e-16
133,1.3431435881107018e-17
134,2.2198780646463868e-16
135,9.15103865075021e-16
137,1.3003340794581099e-17
138,1.3344901190298314e-17
139,2.7341931122636257e-17
140,5.651386932065539e-18
141,2.4442528555471306e-16
142,1.0571176102930947e-16
143,2.5208809011734194e-16
144,4.3584724511642515e-16
145,8.28911816530399e-18
146,1.2794135583514815e-16
147,2.5779740135802513e-17
148,4.4789501193642027e-17
149,3.2375400335798583e-16
150,1.507040785168177e-17
152,9.486241122941773e-17
153,6.685030341067526e-17
154,3.26701494237862e-17
155,4.009060466962718e-17
156,5.673931397565915e-17
157,1.5762952982054186e-17
158,1.7992555840785388e-17
159,1.982818744524605e-16
160,9.89584747650019e-17
161,3.142509626465279e-17
162,1.0707169957059862e-17
163,4.226561486761534e-17
164,6.293595927823223e-17
165,3.0675893954298686e-17
166,1.173833642271607e-16
167,1.9081298937878808e-16
168,5.651386932065539e-18
169,1.797474693602003e-17
170,5.74841235510495e-18
171,4.106129087343656e-16
172,8.002158551012516e-18
173,3.424553800531618e-17
174,2.8897620717201997e-17
175,1.470390772503112e-17
176,2.4722565381328103e-17
177,4.6873718964280975e-17
178,4.459495404076851e-16
179,2.3473414400635182e-17
180,5.75069294257263e-17
181,5.674389951653709e-17
182,7.712643267763585e-18
183,3.094755114899942e-17
184,1.8616236124515348e-16
185,1.2557343290236623e-17
186,9.94993046197561e-17
187,1.260629216267945e-17
188,1.836776762825871e-17
189,3.3847267125403553e-17
190,5.03180252236531e-18
191,5.252950558583864e-17
192,2.3195699692431813e-16
193,3.00580201385592e-17
194,2.9575236951596834e-17
195,7.35195386251556e-18
196,2.809698892238355e-17
197,7.604871358426293e-17
198,6.354537637997554e-16
199,4.030555889703969e-17
200,1.162927593303937e-16
201,2.864416306035632e-17
202,1.469537453807407e-15
203,6.89876072422e-17
204,1.6151813917557241e-16
205,8.002158551012516e-18
206,1.6928719236426936e-16
207,5.701752682098962e-17
208,5.2103464575421105e-17
209,3.011068667053199e-16
210,7.35195386251556e-18
211,1.0895942763563112e-17
212,6.994024662253415e-17
213,1.6004317102025032e-17
214,1.3073102030321454e-16
215,6.698897075785227e-16
216,4.587125545999458e-17
217,2.2321474536713772e-17
218,1.0798285639910867e-17
219,1.5449120473385808e-16
220,6.3857475606550926e-18
221,8.268336565360883e-17
222,1.2220732211643034e-16
223,2.884308477555545e-16
224,1.0047132481225412e-16
225,2.0862490833482203e-17
227,4.783186755498169e-17
228,9.053353129486433e-17
229,3.2812695569851016e-17
230,3.88732922344663e-16
231,4.229204522898593e-17
232,2.2055861587546683e-17
233,2.8736780071642215e-17
234,2.0290773808959188e-17
235,1.7075428138020377e-16
236,1.2812903596768259e-17
237,5.707911767033955e-18
238,3.463192251742325e-17
239,1.1911080328524137e-16
240,3.812138690275423e-17
241,1.2794811792763376e-16
242,1.6880225147129887e-16
243,1.2115981057041133e-16
244,2.3245634100285003e-16
245,4.530623129380941e-16
246,2.3433932310597868e-17
247,8.28911816530399e-18
248,1.6724209958311497e-17
249,2.126666665538159e-16
250,1.2042207623989673e-16
251,1.65387174373722e-16
252,8.002158551012516e-18
253,0.0
254,4.135232539833657e-17
255,8.002158551012516e-18
256,2.8715066878873215e-16
257,2.2733062590215146e-16
258,6.235585140460871e-18
259,6.8489401898736726e-18
260,3.769693361536623e-17
261,7.699059287311379e-17
262,5.415193582795819e-17
263,4.6439912620913043e-17
264,3.480476129294842e-17
265,5.4307407350828184e-17
266,1.2742694729377972e-16
267,4.329068249041817e-18
268,6.597778698940954e-17
269,3.99550654412739e-17
270,3.98383475820853e-16
271,1.3997029932337947e-17
272,1.1346681832327285e-16
273,2.6032590928233574e-16
274,2.166051523941104e-16
275,1.0128670890176283e-17
276,5.745368334343694e-17
277,8.939469689611787e-18
278,2.439081256257507e-17
279,1.8241218773143713e-17
280,5.785428498600764e-16
281,5.918238026805494e-18
282,3.9905573064751765e-17
283,1.7498490676661075e-16
284,9.9174020356594e-17
285,1.0645445082396945e-16
286,9.439041065199738e-18
287,6.054691033974973e-18
288,3.9709881229029863e-17
289,1.141582353406791e-17
290,6.4085209116583815e-18
291,9.361947349796084e-17
292,1.4079244351414886e-17
293,1.2223799678380983e-16
294,7.35195386251556e-18
295,2.1814894774203803e-16
296,1.350976455883826e-16
297,2.2078511717831966e-17
298,1.380573016836501e-16
299,2.491924077149782e-17
300,8.436905291196834e-17
301,6.074798233833692e-17
302,9.729339965992263e-18
303,1.260629216267945e-17
304,1.1019346127146127e-15
305,6.871641600510362e-18
306,6.871641600510362e-18
307,1.506662373104047e-17
308,1.1446512628662383e-16
309,2.7949159336504253e-16
310,7.944813438152636e-18
311,8.28911816530399e-18
312,1.0343896383830924e-16
313,1.0027655663850452e-17
314,1.69408093961498e-17
315,5.1289903115514275e-18
316,1.395049855652637e-17
317,2.4285266553431358e-17
318,1.623803389691792e-17
319,6.422512570725737e-17
320,4.31875624375347e-17
321,5.984277043063992e-17
322,6.938061833270612e-17
323,6.103446406657657e-18
324,3.1536533641951317e-17
325,7.594858551475384e-17
326,7.35195386251556e-18
327,6.394093741576364e-18
328,4.782704098863758e-17
329,5.120216573348995e-18
330,1.2985922340218925e-16
331,8.975728634043046e-18
332,6.1174041978885436e-18
333,2.7961270888983517e-18
334,1.677676253339011e-18
335,2.7961270888983517e-18
336,1.677676253339011e-18
337,2.7961270888983517e-18
338,2.7961270888983517e-18
339,1.0302975131346545e-17
340,6.542779490263816e-17
341,2.236901671118681e-18
342,1.746597749472716e-16
343,2.236901671118681e-18
344,2.7961270888983517e-18
345,4.170025082117092e-17
346,1.9126616651200908e-16
347,6.550520123838492e-17
348,2.7788452931586756e-17
349,6.103446406657657e-18
350,2.4704605457033366e-16
