dst,shapleytrust_score
1,211.948
2,40.816
3,5.988
4,57.49
5,2.98
6,37.268
7,220.528
8,1.934
9,1.032
10,6.526
13,189.72
15,13.56
16,0.496
17,20.482
19,10.44
20,3.948
21,23.33
23,21.574
25,45.014
26,10.832
28,9.23
29,33.348
31,2.08
32,5.988
33,32.406
34,3.232
35,636.944
36,31.774
37,12.376
39,24.03
41,96.808
44,1.992
45,11.352
46,1.068
47,2.028
51,28.344
52,1.02
53,1.956
54,6.968
55,1.064
56,6.928
57,67.31
60,65.086
61,5.232
62,23.06
64,69.156
65,1.024
66,1.0
68,5.14
69,8.15
70,6.152
71,0.968
72,10.896
74,0.952
75,7.202
76,3.096
77,16.366
78,8.89
79,1.032
80,16.592
81,7.178
83,0.96
86,1.012
87,1.928
88,6.368
89,1.948
93,12.582
94,0.964
95,6.164
96,35.578
97,4.108
99,0.996
100,9.856
101,5.458
103,0.532
104,53.202
105,1.52
106,0.996
107,1.868
108,5.176
109,5.716
110,13.578
111,5.888
112,20.394
113,39.724
114,7.858
115,24.498
116,1.068
119,2.918
120,5.496
122,1.532
125,8.176
127,2.552
129,4.166
131,0.496
132,31.152
133,2.02
134,11.362
135,61.132
137,1.944
138,2.064
139,3.61
140,0.944
141,20.394
142,11.404
143,20.344
144,40.684
145,1.08
146,14.99
147,2.346
148,4.84
149,32.016
150,4.0
152,6.096
153,5.028
154,0.972
155,2.446
156,6.482
157,1.964
158,2.054
159,23.54
160,7.108
161,2.996
162,2.044
163,8.352
164,4.418
165,1.576
166,12.194
167,9.79
168,0.936
169,1.486
170,0.968
171,50.202
172,0.92
173,3.602
174,3.888
175,0.94
176,3.47
177,8.41
178,36.834
179,1.868
180,9.592
181,5.576
182,0.988
183,2.912
184,18.844
185,1.968
186,12.304
187,1.048
188,1.992
189,2.38
190,1.028
191,2.39
192,16.676
193,2.032
194,3.004
195,1.096
196,0.976
197,1.512
198,47.034
199,5.012
200,6.528
201,3.04
202,116.468
203,9.048
204,20.362
205,0.494
206,14.102
207,6.62
208,2.056
209,28.462
210,1.06
211,1.442
212,6.282
213,0.972
214,13.452
215,51.086
216,8.086
217,2.97
218,1.506
219,17.234
220,0.502
221,8.072
222,12.62
223,5.252
224,7.284
225,4.398
227,5.676
228,13.448
229,3.472
230,18.462
231,4.1
232,1.044
233,1.936
234,2.682
235,10.344
236,2.58
237,1.084
238,6.462
239,8.854
240,3.71
241,5.56
242,13.502
243,10.064
244,4.558
245,7.186
246,4.048
247,1.036
248,2.536
249,20.332
250,2.6
251,8.666
252,1.068
253,0.49
254,4.556
255,1.476
256,33.242
257,52.4
258,2.152
259,2.46
260,0.998
261,7.656
262,6.016
263,2.008
264,1.054
265,4.126
266,17.784
267,0.928
268,4.958
269,4.424
270,39.084
271,1.968
272,10.878
273,24.562
274,18.886
275,1.526
276,5.32
277,1.506
278,3.54
279,1.564
280,57.09
281,0.524
282,5.226
283,13.908
284,8.79
285,5.956
286,1.94
287,1.048
288,6.44
289,0.996
290,1.004
291,1.016
292,1.464
293,4.462
294,1.04
295,21.832
296,3.198
297,2.648
298,9.038
299,1.912
300,3.136
301,4.072
302,0.516
303,0.94
304,104.69
305,1.056
306,1.08
307,1.608
308,11.262
309,29.77
310,3.064
311,1.02
312,10.75
313,2.61
314,1.98
315,0.512
316,1.96
317,4.2
318,4.498
319,8.128
320,4.91
321,5.628
322,8.994
323,1.036
324,4.904
325,11.648
326,0.96
327,0.928
328,2.026
329,1.024
330,7.32
331,1.588
332,2.582
333,1.04
334,0.496
335,0.552
336,0.538
337,0.536
338,0.504
339,2.498
340,5.356
341,0.524
342,15.126
343,0.534
344,0.514
345,4.044
346,22.962
347,5.654
348,3.418
349,0.98
350,27.462
351,2.418
352,1.518
353,86.476
354,1.02
355,1.004
356,3.968
357,3.59
358,2.048
359,10.018
360,1.584
361,52.32
362,0.506
363,32.304
364,0.516
365,2.518
366,5.244
367,0.996
368,1.008
369,0.496
370,1.02
371,1.476
372,6.172
373,0.498
374,9.61
375,2.406
376,0.506
377,2.592
378,8.414
379,1.072
380,3.422
381,0.538
382,1.024
383,16.618
384,11.73
385,0.972
386,9.472
387,16.568
388,1.024
389,2.06
390,9.69
391,0.944
392,2.576
393,11.486
394,11.458
395,10.206
396,11.54
397,2.556
398,1.008
399,16.314
400,1.08
401,8.176
402,8.236
403,1.004
404,6.18
405,18.1
406,3.08
407,1.022
408,12.566
409,3.06
410,2.452
411,3.032
412,6.98
413,0.508
414,1.004
415,18.474
416,16.412
417,7.094
418,13.376
419,6.896
420,0.502
421,5.582
422,0.496
423,5.794
424,2.936
425,24.326
426,0.488
427,12.384
428,2.872
429,0.996
430,0.968
431,1.556
432,1.846
433,4.98
434,1.008
435,2.02
436,13.164
437,1.96
438,2.068
439,4.17
440,2.1
441,7.992
442,0.976
443,13.92
444,0.94
445,1.008
446,18.394
447,3.024
448,3.608
449,3.126
450,1.052
451,2.048
452,20.434
453,3.008
454,3.012
455,8.716
456,0.988
457,1.568
458,2.056
459,2.992
460,3.384
461,1.1
462,13.126
463,3.666
464,4.48
465,12.548
466,1.924
467,1.94
468,59.064
469,14.092
470,2.08
471,0.952
472,4.468
473,1.012
474,1.036
475,8.808
476,15.132
477,2.46
478,2.546
479,5.43
480,15.78
481,26.824
482,1.132
483,0.528
484,23.454
485,0.992
486,3.876
487,0.976
488,8.812
489,9.636
490,2.428
491,17.352
492,49.742
493,17.678
494,8.096
495,12.07
496,3.39
497,3.49
498,2.494
499,5.658
500,5.716
501,4.292
502,10.272
503,2.004
504,0.518
505,1.052
506,3.112
507,3.006
508,4.072
509,3.404
510,1.96
511,1.016
512,3.064
513,2.056
514,5.1
515,2.02
516,4.988
517,3.028
518,4.848
519,0.994
520,18.554
521,9.622
522,32.958
523,52.934
524,1.024
525,1.884
526,4.028
527,1.992
528,1.052
529,0.984
530,9.636
531,0.956
532,3.154
533,13.952
534,8.746
535,21.274
536,3.996
537,53.006
538,8.36
539,17.156
540,43.686
541,0.968
542,3.076
