alpha,AUC,Precision@100,KendallTau,Spearman,algorithm
0.1,0.76340375389277,0.71,0.348462107677479,0.4982537180703974,PageRank
0.3,0.7641612658867099,0.71,0.3493076842551967,0.4991021727679842,PageRank
0.5,0.7650029458799765,0.71,0.3509988374106322,0.5008274605114046,PageRank
0.7,0.7660971298712229,0.72,0.3513370680417192,0.5017737915529451,PageRank
0.9,0.7671071458631428,0.72,0.3516752986728064,0.502145026680012,PageRank
0.1,0.7596161939230706,0.71,0.3427121869489983,0.4907166604359989,EigenTrust
0.3,0.7596161939230706,0.71,0.3427121869489983,0.4907166604359989,EigenTrust
0.5,0.7596161939230706,0.71,0.3427121869489983,0.4907166604359989,EigenTrust
0.7,0.7596161939230706,0.71,0.3427121869489983,0.4907166604359989,EigenTrust
0.9,0.7596161939230706,0.71,0.3427121869489983,0.4907166604359989,EigenTrust
0.1,0.7674859018601129,0.73,0.2902106669383353,0.4467773115736731,PowerTrust
0.3,0.728768622169851,0.69,0.2408799479532057,0.3596212296551619,PowerTrust
0.5,0.7094099823247203,0.65,0.2211816229884036,0.3208502419877628,PowerTrust
0.7,0.7004881743960946,0.64,0.2129456853953613,0.302868108795124,PowerTrust
0.9,0.6956064304351486,0.62,0.2084456370197815,0.29373945782223,PowerTrust
0.1,0.7576803299385573,0.71,0.3362012473005718,0.4835658958277371,AbsoluteTrust
0.3,0.7576803299385573,0.71,0.3362858049583436,0.4836574015220843,AbsoluteTrust
0.5,0.7576803299385573,0.71,0.3362858049583436,0.4836574015220843,AbsoluteTrust
0.7,0.7576803299385573,0.71,0.3363703626161153,0.4837616485156444,AbsoluteTrust
0.9,0.7576803299385573,0.71,0.3364549202738871,0.4838519959100633,AbsoluteTrust
0.1,0.6935443144516455,0.66,0.2468238030358071,0.3558969194144827,ShapleyTrust
0.3,0.6886625704906995,0.65,0.2381989219430862,0.3445067770681083,ShapleyTrust
0.5,0.6869792105041663,0.65,0.2358313075254765,0.3416278225959556,ShapleyTrust
0.7,0.6867267065061864,0.65,0.2358313075254765,0.3412919156167062,ShapleyTrust
0.9,0.6866425385068597,0.65,0.2357467498677047,0.3410567807312317,ShapleyTrust
0.1,0.7919367056645065,0.73,0.3768734806887949,0.5374656455480824,RepuLink
0.3,0.8067502735459977,0.72,0.396237184318531,0.5614569328160216,RepuLink
0.5,0.8197121454423029,0.72,0.4108656591130479,0.5796451374424461,RepuLink
0.7,0.8367982493056141,0.76,0.4303139204005559,0.5995864290105736,RepuLink
0.9,0.8521168251830653,0.78,0.4380086672577872,0.6083866127169425,RepuLink
